Actual,Predicted,Residual,AbsResidual,LogActual,LogPredicted,LogResidual,ActualZeroFlag
0.0,126.94086817287125,-126.94086817287125,126.94086817287125,0.0,4.85156818978036,-4.85156818978036,1
0.0,178.19117545945784,-178.19117545945784,178.19117545945784,0.0,5.188453255240454,-5.188453255240454,1
0.0,357.24359685232764,-357.24359685232764,357.24359685232764,0.0,5.881213193142626,-5.881213193142626,1
0.0,191.86820110596358,-191.86820110596358,191.86820110596358,0.0,5.2620070598013,-5.2620070598013,1
0.0,347.7189849053134,-347.7189849053134,347.7189849053134,0.0,5.854266397009731,-5.854266397009731,1
0.0,118.48794370406024,-118.48794370406024,118.48794370406024,0.0,4.783215476776105,-4.783215476776105,1
0.0,325.39842801874534,-325.39842801874534,325.39842801874534,0.0,5.788118806959314,-5.788118806959314,1
0.0,1583.8755409069297,-1583.8755409069297,1583.8755409069297,0.0,7.368261160141172,-7.368261160141172,1
0.0,70.27931823435004,-70.27931823435004,70.27931823435004,0.0,4.266606218503317,-4.266606218503317,1
0.0,317.7796522499227,-317.7796522499227,317.7796522499227,0.0,5.764500118812348,-5.764500118812348,1
0.0,154.84817844486486,-154.84817844486486,154.84817844486486,0.0,5.048882318271221,-5.048882318271221,1
0.0,92.84220665958757,-92.84220665958757,92.84220665958757,0.0,4.541614719196488,-4.541614719196488,1
0.0,393.29379941886265,-393.29379941886265,393.29379941886265,0.0,5.97709631521812,-5.97709631521812,1
0.0,58.14575825839623,-58.14575825839623,58.14575825839623,0.0,4.080004876245155,-4.080004876245155,1
0.0,157.7841108193116,-157.7841108193116,157.7841108193116,0.0,5.067545485994019,-5.067545485994019,1
0.0,133.76369068693865,-133.76369068693865,133.76369068693865,0.0,4.903522805273295,-4.903522805273295,1
0.0,50.29840023069456,-50.29840023069456,50.29840023069456,0.0,3.9376595671036236,-3.9376595671036236,1
0.0,427.804237005084,-427.804237005084,427.804237005084,0.0,6.061000490783064,-6.061000490783064,1
0.0,196.68289557861044,-196.68289557861044,196.68289557861044,0.0,5.286664209380697,-5.286664209380697,1
