Customer_ID,KMeans_Cluster,KMeans_SegmentName,Agglomerative_Cluster,GaussianMixture_Cluster,DBSCAN_Cluster,FutureSpend90Days,RetentionLabel,Frequency,Monetary,AvgBasketValue,AvgQuantity,UniqueProducts,Recency,LifetimeDays,IsNewCustomer,PurchaseRate,RecencyFrequency,RevenuePerDay,AvgSpendPerProduct,ProductDiversityRate,AvgGapDays,StdGapDays,PurchasesLast30Days,SpendLast30Days,PurchasesLast90Days,SpendLast90Days,SpendPrior90Days,PurchasesPrior90Days,SpendTrendRatio,FrequencyLast90DaysRatio,ReturnRate,AvgGapDaysMissing
12347,0,Regular Mid-Value Customers,0,3,0,1519.14,1,6,3402.39,567.0649999999999,349.8333333333333,164,37,274,0,0.021897810218978103,6.166666666666667,12.417481751824816,20.746280487804878,27.333333333333332,54.4,12.759310326189265,0.0,0.0,1.0,584.9100000000001,1018.77,2.0,0.5735705109975779,0.3333333333333333,0.0,0
12348,3,At-Risk Inactive Customers,1,1,0,270.0,1,4,1388.3999999999999,347.09999999999997,622.0,40,156,189,0,0.021164021164021163,39.0,7.346031746031746,34.709999999999994,10.0,63.0,21.37755832643195,0.0,0.0,0.0,0.0,327.0,1.0,0.0,0.0,0.0,0
12352,3,At-Risk Inactive Customers,1,1,0,744.23,1,7,1825.61,260.8014285714286,62.857142857142854,52,170,130,0,0.05384615384615385,24.285714285714285,14.043153846153846,35.10788461538461,7.428571428571429,21.5,28.891175123210203,0.0,0.0,0.0,0.0,240.66,2.0,0.0,0.0,0.15151515151515152,0
12353,3,At-Risk Inactive Customers,1,1,0,0.0,0,2,406.76,203.38,106.0,24,112,204,0,0.00980392156862745,56.0,1.993921568627451,16.948333333333334,12.0,204.0,0.0,0.0,0.0,0.0,0.0,89.0,1.0,0.0,0.0,0.0,0
12354,2,New / One-Time Customers,3,2,1,0.0,0,1,1079.4,1079.4,530.0,58,140,1,1,1.0,140.0,1079.4,18.610344827586207,58.0,,0.0,0.0,0.0,0.0,0.0,1079.4,1.0,0.0,0.0,0.0,1
12355,3,At-Risk Inactive Customers,1,1,0,0.0,0,2,947.61,473.805,271.5,35,122,353,0,0.0056657223796034,61.0,2.684447592067989,27.074571428571428,17.5,353.0,0.0,0.0,0.0,0.0,0.0,459.4,1.0,0.0,0.0,0.0,0
12356,3,At-Risk Inactive Customers,1,1,0,58.349999999999994,1,5,5553.38,1110.676,674.2,136,153,179,0,0.027932960893854747,30.6,31.024469273743016,40.83367647058824,27.2,44.25,29.37544325906703,0.0,0.0,0.0,0.0,481.46000000000004,1.0,0.0,0.0,0.0,0
12358,0,Regular Mid-Value Customers,2,0,0,0.0,0,4,2923.87,730.9675,231.0,67,58,581,0,0.0068846815834767644,14.5,5.032478485370051,43.63985074626866,16.75,193.0,27.073972741361768,0.0,0.0,1.0,404.86,0.0,0.0,404.86,1.0,0.0,0
12359,3,At-Risk Inactive Customers,1,1,0,2814.3,1,9,6059.09,673.2322222222223,232.77777777777777,260,97,544,0,0.016544117647058824,10.777777777777779,11.138033088235295,23.304192307692308,28.88888888888889,67.75,43.54882317583335,0.0,0.0,0.0,0.0,1109.32,1.0,0.0,0.0,0.022556390977443608,0
12360,0,Regular Mid-Value Customers,0,3,0,923.78,1,5,2689.1099999999997,537.8219999999999,391.0,158,20,543,0,0.009208103130755065,4.0,4.95232044198895,17.019683544303795,31.6,135.5,53.194611255903226,1.0,454.7,1.0,454.7,923.5799999999999,1.0,0.4917908672045686,0.5,0.006097560975609756,0
12362,0,Regular Mid-Value Customers,0,3,0,3154.88,1,4,1582.35,395.5875,244.25,101,28,175,0,0.022857142857142857,7.0,9.042,15.666831683168317,25.25,58.0,19.924858845171276,1.0,424.25,2.0,698.01,450.24,1.0,1.5468708447832638,1.0,0.04504504504504504,0
12363,0,Regular Mid-Value Customers,0,0,0,0.0,0,2,552.0,276.0,204.0,23,17,132,0,0.015151515151515152,8.5,4.181818181818182,24.0,11.5,132.0,0.0,1.0,252.9,1.0,252.9,299.1,1.0,0.8427190936354548,0.5,0.0,0
12364,2,New / One-Time Customers,3,2,2,629.18,1,1,578.92,578.92,552.0,33,20,1,1,1.0,20.0,578.92,17.543030303030303,33.0,,0.0,1.0,578.92,1.0,578.92,0.0,0.0,578.92,1.0,0.0,1
12372,3,At-Risk Inactive Customers,1,1,0,353.12,1,2,842.9200000000001,421.46000000000004,294.0,37,120,83,0,0.024096385542168676,60.0,10.15566265060241,22.781621621621625,18.5,83.0,0.0,0.0,0.0,0.0,0.0,479.7,1.0,0.0,0.0,0.0,0
12375,2,New / One-Time Customers,3,2,2,187.20000000000002,1,1,190.3,190.3,86.0,10,6,1,1,1.0,6.0,190.3,19.03,10.0,,0.0,1.0,190.3,1.0,190.3,0.0,0.0,190.3,1.0,0.0,1
