Customer_ID,PCA1,PCA2,KMeans_Cluster,Agglomerative_Cluster,GaussianMixture_Cluster,DBSCAN_Cluster
12347,-0.8451987801331741,-0.1596569262530016,0,0,3,0
12348,1.6174102008222675,-1.6383011197321826,3,1,1,0
12352,1.4748470934704585,-1.588844989600941,3,1,1,0
12353,2.3521847988171185,-2.227425109452577,3,1,1,0
12354,4.565609315673608,2.418251624616884,2,3,2,1
12355,1.8626909522992592,-2.629121477718648,3,1,1,0
12356,0.662824875705338,-1.1039672817749893,3,1,1,0
12358,-0.7158329873925325,-0.8130793791550579,0,2,0,0
12359,-0.597740732906012,-1.7344611061715154,3,1,1,0
12360,-2.021800726565127,-0.1213341480625915,0,0,3,0
12362,-1.1830189418403303,0.9023592597629247,0,0,3,0
12363,0.1326859738046792,0.3553990870283737,0,0,0,0
12364,2.3948281144089894,4.946828144478589,2,3,2,2
12372,2.093092010025253,-1.3220122820535185,3,1,1,0
12375,3.063489558767296,4.266942279245316,2,3,2,2
12378,-1.5376726884563852,1.0734265634850115,0,2,0,-1
12379,0.1142622720600127,-1.326946065137286,0,2,0,0
12380,-0.5268629987216296,-1.9067181163365483,3,1,1,0
12381,1.9733281821918351,5.353452777983316,2,3,2,-1
12383,0.9289096344933484,-1.2721649634784549,3,1,1,0
12384,3.3964298812611173,4.096629819389997,2,3,2,2
12388,-0.9978734984051448,-0.2860660878694063,0,2,3,0
12393,1.2554521492461932,-1.6785507557412032,3,1,1,0
12394,5.229233716477692,2.025665631769388,2,3,2,1
12395,-2.2116009217693144,0.2289926531180967,1,0,3,0
12397,2.8368066475648246,4.482136946405829,2,3,2,3
12399,-1.5621594004792745,-0.3557100113710293,0,0,3,0
12405,2.883978532299869,4.698050542954517,2,3,2,-1
12406,-0.0257238563534514,-1.933221196851673,3,1,1,0
12407,-0.0008287937769924,0.0013511407935344,0,2,3,0
12408,-2.4163713308331585,0.73588296033031,1,0,3,0
12409,-0.9989640005049772,-0.8869579413080059,3,0,1,-1
12412,-1.2218723209727211,-0.0662015232226293,0,2,3,0
12413,2.016250160768048,-1.990455155872466,3,1,1,0
12414,1.465530059528538,-2.186464863336101,3,2,1,-1
12415,-7.060307390841127,5.379379015468371,1,0,3,-1
12417,-3.1347108165801125,0.50167967977188,1,0,3,0
12418,-1.9756628234475917,-0.1113593160138426,0,0,0,0
12421,-1.2281208471338343,0.443352306916346,0,0,3,0
12422,-3.209008419966953,0.9847090498686942,1,0,3,0
12423,-1.72747409278156,0.1327406938142927,1,0,3,0
12424,-1.264434101199708,0.2327521102952335,0,2,0,-1
12426,1.3471945404775971,-3.020945318644245,3,1,1,0
12428,-2.149468115388001,1.3836657257291678,1,0,3,0
12429,-0.892109553245016,-0.5382089083330988,0,0,3,0
12431,-3.5689760867915505,1.2015383993959972,1,0,3,0
12432,1.918133332595981,6.345754098237999,2,2,2,-1
12434,2.4900994211928054,-2.0383221014095194,3,1,1,0
12435,0.2343935595507304,-1.6401166684876023,3,1,1,-1
12436,2.53106150836204,4.848187517583511,2,3,2,2
12437,-3.9339061259434094,1.0428320232801849,1,0,3,0
12438,3.189888263087981,4.127951967188674,2,3,2,3
12444,-0.6568539988970754,3.93663983080242,0,2,0,-1
12447,5.256577806584114,1.9602952657989583,2,3,2,1
12449,-0.5933367427079873,-1.1170843781666204,0,2,0,0
12450,-0.0611596517252494,-0.82228428917527,0,2,3,0
